tarjeta,perfil,zona_residencia_origen,activa,fecha_baja,ultima_operacion,ultima_secuencia
TC-00049436,trabajador,Mixco,true,,INSERT,25742
TC-00049443,trabajador,Zona 6,true,,INSERT,17314
TC-00049446,estudiante,Zona 9,true,,UPDATE,19667
TC-00049452,estudiante,Zona 8,true,,UPDATE,7225
TC-00049453,general,Santa Catarina Pinula,true,,INSERT,2297
TC-00049455,adulto_mayor,Mixco,true,,UPDATE,22427
TC-00049464,trabajador,Zona 17,true,,UPDATE,21262
TC-00049466,trabajador,Zona 1,true,,UPDATE,3712
TC-00049468,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,10163
TC-00049471,trabajador,Zona 18,true,,UPDATE,28769
TC-00049474,trabajador,Zona 12,true,,UPDATE,9527
TC-00049475,trabajador,Mixco,true,,INSERT,28430
TC-00049479,,,false,2026-07-05 11:32:00,DELETE,24098
TC-00049484,,,false,2026-06-10 11:54:00,DELETE,6885
TC-00049485,trabajador,Zona 9,true,,INSERT,6378
TC-00049490,estudiante,Zona 10,true,,UPDATE,15756
TC-00049493,estudiante,Zona 18,true,,UPDATE,8644
TC-00049496,,,false,2026-06-16 18:05:00,DELETE,10986
TC-00049499,adulto_mayor,Zona 6,true,,UPDATE,2460
TC-00049501,general,Zona 8,true,,INSERT,23644
TC-00049502,,,false,2026-06-09 17:03:00,DELETE,6192
TC-00049503,,,false,2026-06-08 09:15:00,DELETE,5442
TC-00049504,general,Zona 18,true,,INSERT,12572
TC-00049509,estudiante,Zona 11,true,,UPDATE,17777
TC-00049511,adulto_mayor,Zona 18,true,,INSERT,8374
TC-00049513,trabajador,Zona 11,true,,UPDATE,4520
TC-00049517,trabajador,Santa Catarina Pinula,false,2026-07-10 19:32:00,DELETE,27533
TC-00049518,trabajador,Santa Catarina Pinula,true,,INSERT,13232
TC-00049519,trabajador,Zona 1,true,,INSERT,8984
TC-00049520,adulto_mayor,Villa Nueva,true,,UPDATE,23865
TC-00049523,adulto_mayor,Zona 12,true,,UPDATE,23972
TC-00049527,trabajador,Zona 12,true,,INSERT,8998
TC-00049530,adulto_mayor,Zona 11,true,,UPDATE,12259
TC-00049531,estudiante,Zona 4,true,,INSERT,25573
TC-00049533,,,false,2026-07-03 21:10:00,DELETE,22702
TC-00049535,general,Zona 12,true,,INSERT,6388
TC-00049541,estudiante,Zona 4,true,,UPDATE,28129
TC-00049542,trabajador,Villa Nueva,false,2026-06-10 09:48:00,DELETE,6849
TC-00049543,trabajador,Zona 18,true,,INSERT,7644
TC-00049547,trabajador,Zona 4,true,,INSERT,6236
TC-00049548,trabajador,Zona 4,true,,INSERT,28385
TC-00049552,trabajador,Villa Nueva,true,,UPDATE,3107
TC-00049560,estudiante,Zona 9,true,,INSERT,10562
TC-00049561,adulto_mayor,Zona 9,true,,UPDATE,21191
TC-00049564,estudiante,Zona 11,true,,INSERT,6317
TC-00049566,trabajador,Villa Nueva,true,,UPDATE,28738
TC-00049568,trabajador,Villa Nueva,true,,INSERT,29704
TC-00049570,adulto_mayor,Villa Nueva,true,,INSERT,28368
TC-00049575,trabajador,Zona 11,true,,UPDATE,14761
TC-00049580,trabajador,Zona 1,true,,INSERT,24957
TC-00049583,adulto_mayor,Zona 18,true,,UPDATE,18278
TC-00049585,trabajador,Zona 18,true,,UPDATE,16365
TC-00049588,general,Zona 4,true,,INSERT,22254
TC-00049595,trabajador,Zona 9,true,,INSERT,22148
TC-00049600,trabajador,Villa Nueva,true,,INSERT,22804
TC-00049604,trabajador,Zona 4,true,,INSERT,29882
TC-00049605,estudiante,Zona 18,true,,UPDATE,17097
TC-00049608,trabajador,Zona 13,false,2026-06-28 19:38:00,DELETE,19276
TC-00049611,adulto_mayor,Zona 7,true,,UPDATE,20368
TC-00049616,estudiante,Zona 6,true,,UPDATE,21654
TC-00049618,adulto_mayor,San Miguel Petapa,true,,INSERT,29681
TC-00049620,trabajador,Zona 4,true,,INSERT,10509
TC-00049624,adulto_mayor,Zona 10,false,2026-07-11 07:11:00,DELETE,28261
TC-00049625,,,false,2026-07-12 20:59:00,DELETE,28976
TC-00049630,estudiante,Zona 4,true,,UPDATE,23281
TC-00049634,trabajador,Zona 1,true,,INSERT,11817
TC-00049635,general,Zona 13,true,,UPDATE,21236
TC-00049636,trabajador,Zona 1,true,,UPDATE,17754
TC-00049637,general,Zona 1,true,,UPDATE,7428
TC-00049640,estudiante,Zona 9,true,,INSERT,3585
TC-00049644,general,San Miguel Petapa,true,,UPDATE,5410
TC-00049649,general,Zona 13,true,,UPDATE,26593
TC-00049650,estudiante,Zona 11,true,,INSERT,15873
TC-00049655,,,false,2026-06-02 05:10:00,DELETE,1366
TC-00049658,,,false,2026-06-10 13:56:00,DELETE,6842
TC-00049673,estudiante,Zona 9,true,,UPDATE,6045
TC-00049677,trabajador,Zona 1,true,,INSERT,22933
TC-00049680,general,Zona 13,true,,INSERT,18738
TC-00049681,,,false,2026-07-02 21:14:00,DELETE,22043
TC-00049685,general,Mixco,true,,INSERT,23489
TC-00049689,general,Zona 18,true,,UPDATE,29978
TC-00049690,trabajador,Zona 9,true,,UPDATE,21133
TC-00049696,adulto_mayor,San Miguel Petapa,true,,UPDATE,25422
TC-00049697,trabajador,Zona 13,true,,INSERT,15210
TC-00049702,trabajador,Santa Catarina Pinula,true,,INSERT,20250
TC-00049706,general,Zona 7,true,,INSERT,10575
TC-00049708,trabajador,Zona 13,false,2026-06-09 05:05:00,DELETE,6166
TC-00049709,,,false,2026-06-20 22:44:00,DELETE,13741
TC-00049710,trabajador,Villa Nueva,true,,INSERT,29792
TC-00049712,trabajador,Zona 4,true,,UPDATE,2443
TC-00049713,adulto_mayor,Mixco,true,,INSERT,6340
TC-00049724,general,Zona 11,true,,UPDATE,8107
TC-00049729,estudiante,Zona 17,true,,UPDATE,9243
TC-00049733,,,false,2026-06-18 02:56:00,DELETE,12415
TC-00049735,adulto_mayor,Zona 7,true,,UPDATE,1228
TC-00049736,adulto_mayor,Zona 11,true,,UPDATE,13376
TC-00049737,adulto_mayor,Mixco,true,,INSERT,29085
TC-00049747,general,Santa Catarina Pinula,true,,INSERT,30466
TC-00049749,trabajador,Zona 4,true,,UPDATE,14354
TC-00049750,estudiante,Zona 9,true,,UPDATE,8726
TC-00049753,general,Santa Catarina Pinula,true,,INSERT,14557
TC-00049755,general,Zona 18,true,,INSERT,12598
TC-00049757,general,Zona 1,true,,UPDATE,10036
TC-00049776,,,false,2026-06-04 04:07:00,DELETE,2689
TC-00049779,general,Santa Catarina Pinula,true,,UPDATE,25905
TC-00049780,general,Zona 6,true,,UPDATE,14235
TC-00049785,estudiante,Zona 10,true,,UPDATE,1006
TC-00049790,,,false,2026-06-07 06:50:00,DELETE,4810
TC-00049791,general,Zona 6,true,,UPDATE,28613
TC-00049794,,,false,2026-06-03 10:28:00,DELETE,2004
TC-00049795,,,false,2026-06-13 09:38:00,DELETE,8934
TC-00049803,estudiante,Zona 12,true,,INSERT,9823
TC-00049804,adulto_mayor,Villa Nueva,true,,UPDATE,14108
TC-00049805,,,false,2026-07-09 12:27:00,DELETE,26891
TC-00049807,trabajador,Zona 18,true,,INSERT,4840
TC-00049810,adulto_mayor,Zona 12,true,,UPDATE,30080
TC-00049812,estudiante,Zona 13,true,,UPDATE,17535
TC-00049813,general,Santa Catarina Pinula,true,,INSERT,12581
TC-00049818,general,Zona 7,true,,UPDATE,30180
TC-00049823,trabajador,Zona 17,true,,INSERT,29716
TC-00049830,adulto_mayor,Zona 18,true,,UPDATE,27932
TC-00049831,adulto_mayor,Zona 10,true,,UPDATE,30030
TC-00049833,trabajador,Villa Nueva,true,,UPDATE,10744
TC-00049834,trabajador,Zona 9,true,,INSERT,8321
TC-00049843,estudiante,Zona 1,true,,INSERT,10433
TC-00049847,adulto_mayor,Mixco,true,,UPDATE,19209
TC-00049862,trabajador,Zona 11,true,,INSERT,29197
TC-00049873,trabajador,Zona 4,true,,UPDATE,1936
TC-00049874,adulto_mayor,Zona 18,true,,UPDATE,19064
TC-00049875,trabajador,Zona 4,true,,INSERT,29848
TC-00049876,estudiante,Zona 8,true,,UPDATE,30206
TC-00049881,estudiante,Zona 7,true,,INSERT,2260
TC-00049882,adulto_mayor,Zona 10,true,,UPDATE,26522
TC-00049887,general,Zona 17,true,,UPDATE,5777
TC-00049890,general,San Miguel Petapa,true,,INSERT,26374
TC-00049892,adulto_mayor,Zona 10,true,,UPDATE,8739
TC-00049893,estudiante,Mixco,true,,UPDATE,6109
TC-00049897,trabajador,Zona 9,true,,UPDATE,28648
TC-00049904,adulto_mayor,Zona 6,true,,UPDATE,10720
TC-00049913,trabajador,San Miguel Petapa,true,,UPDATE,7836
TC-00049919,estudiante,Zona 10,true,,UPDATE,15043
TC-00049921,trabajador,Zona 12,true,,INSERT,17941
TC-00049923,general,Zona 6,true,,UPDATE,29305
TC-00049925,,,false,2026-06-02 17:11:00,DELETE,1373
TC-00049926,estudiante,Villa Nueva,true,,UPDATE,27876
TC-00049930,adulto_mayor,Zona 11,true,,UPDATE,28139
TC-00049938,trabajador,Villa Nueva,true,,UPDATE,27896
TC-00049947,trabajador,Zona 7,false,2026-06-23 12:43:00,DELETE,15813
TC-00049953,,,false,2026-07-08 20:09:00,DELETE,26218
TC-00049958,estudiante,Zona 12,true,,INSERT,25655
TC-00049961,general,Villa Nueva,true,,UPDATE,23367
TC-00049969,adulto_mayor,Villa Nueva,true,,UPDATE,14965
TC-00049970,adulto_mayor,Zona 1,true,,UPDATE,21823
TC-00049972,general,Zona 8,true,,UPDATE,19846
TC-00049973,estudiante,San Miguel Petapa,true,,UPDATE,10634
TC-00049974,adulto_mayor,Mixco,false,2026-07-06 18:46:00,DELETE,24792
TC-00049977,,,false,2026-06-21 10:58:00,DELETE,14448
TC-00049985,,,false,2026-06-09 22:24:00,DELETE,6210
TC-00049988,,,false,2026-06-27 05:24:00,DELETE,18583
TC-00049990,adulto_mayor,Zona 12,true,,UPDATE,3308
TC-00049999,estudiante,Zona 4,true,,UPDATE,17547
TC-00050002,estudiante,Zona 10,true,,INSERT,19347
TC-00050005,estudiante,Zona 10,true,,UPDATE,25950
TC-00050023,trabajador,Zona 9,true,,UPDATE,19766
TC-00050028,trabajador,Villa Nueva,true,,INSERT,11744
TC-00050033,adulto_mayor,Zona 6,true,,UPDATE,19131
TC-00050034,adulto_mayor,Zona 17,true,,UPDATE,11622
TC-00050036,,,false,2026-06-07 22:52:00,DELETE,4796
TC-00050037,trabajador,Zona 7,true,,INSERT,30581
TC-00050038,general,Zona 13,true,,INSERT,19496
TC-00050039,,,false,2026-06-15 17:26:00,DELETE,10288
TC-00050042,adulto_mayor,Zona 6,true,,UPDATE,29549
TC-00050048,adulto_mayor,San Miguel Petapa,true,,UPDATE,5904
TC-00050062,estudiante,Zona 8,true,,UPDATE,13517
TC-00050063,trabajador,Santa Catarina Pinula,true,,INSERT,11854
TC-00050064,trabajador,Zona 7,true,,INSERT,2163
TC-00050067,trabajador,Zona 8,true,,UPDATE,27442
TC-00050068,general,Zona 13,true,,UPDATE,8015
TC-00050072,trabajador,Zona 10,true,,INSERT,19407
TC-00050073,general,Zona 11,true,,INSERT,9027
TC-00050074,trabajador,Zona 9,false,2026-06-15 14:28:00,DELETE,10278
TC-00050085,trabajador,Zona 18,false,2026-06-15 15:24:00,DELETE,10311
TC-00050087,adulto_mayor,Mixco,true,,UPDATE,17623
TC-00050091,general,Zona 13,true,,INSERT,5639
TC-00050092,general,Villa Nueva,true,,UPDATE,4582
TC-00050099,estudiante,Zona 6,true,,INSERT,25015
TC-00050108,trabajador,Zona 12,true,,UPDATE,7902
TC-00050109,estudiante,Zona 17,true,,UPDATE,17128
TC-00050110,general,Zona 8,true,,UPDATE,17725
TC-00050121,adulto_mayor,Zona 10,true,,INSERT,10410
TC-00050124,trabajador,Zona 13,true,,UPDATE,2619
TC-00050134,estudiante,Villa Nueva,true,,UPDATE,22408
TC-00050135,general,Zona 12,true,,UPDATE,17849
TC-00050136,trabajador,Zona 6,true,,INSERT,8445
TC-00050147,general,Villa Nueva,true,,UPDATE,21180
TC-00050148,,,false,2026-07-03 17:00:00,DELETE,22695
TC-00050149,general,Zona 6,true,,UPDATE,8047
TC-00050150,trabajador,Zona 4,true,,UPDATE,6585
TC-00050155,trabajador,Zona 8,true,,UPDATE,21274
TC-00050161,trabajador,Zona 10,true,,INSERT,10429
TC-00050164,trabajador,Santa Catarina Pinula,true,,INSERT,9832
TC-00050167,estudiante,San Miguel Petapa,true,,UPDATE,1729
TC-00050171,adulto_mayor,Zona 6,true,,UPDATE,21842
TC-00050172,general,Zona 4,true,,UPDATE,3028
TC-00050177,trabajador,Zona 12,true,,UPDATE,7930
TC-00050182,general,Zona 11,true,,INSERT,27783
TC-00050183,trabajador,San Miguel Petapa,true,,UPDATE,23059
TC-00050184,general,Zona 9,true,,UPDATE,4559
TC-00050186,estudiante,Zona 8,true,,UPDATE,30234
TC-00050189,,,false,2026-07-10 15:02:00,DELETE,27512
TC-00050192,general,Villa Nueva,true,,UPDATE,12885
TC-00050193,adulto_mayor,Zona 18,true,,UPDATE,9998
TC-00050195,adulto_mayor,Mixco,true,,UPDATE,26693
TC-00050197,adulto_mayor,Zona 8,true,,UPDATE,1649
TC-00050202,trabajador,Santa Catarina Pinula,true,,UPDATE,22553
TC-00050208,general,Zona 8,true,,UPDATE,22653
TC-00050210,trabajador,Zona 11,true,,INSERT,5601
TC-00050212,general,Zona 18,true,,INSERT,6929
TC-00050221,general,San Miguel Petapa,true,,UPDATE,13686
TC-00050222,trabajador,Villa Nueva,true,,UPDATE,30116
TC-00050224,,,false,2026-06-03 23:33:00,DELETE,2056
TC-00050226,adulto_mayor,Zona 11,true,,UPDATE,29276
TC-00050229,trabajador,Zona 11,true,,INSERT,14612
TC-00050230,trabajador,Villa Nueva,true,,INSERT,8320
TC-00050231,general,Zona 18,true,,UPDATE,14394
TC-00050232,trabajador,Zona 12,true,,INSERT,15190
TC-00050233,estudiante,Zona 12,true,,UPDATE,8173
TC-00050237,adulto_mayor,Zona 17,true,,UPDATE,25247
TC-00050238,general,Zona 10,true,,UPDATE,20396
TC-00050246,general,Santa Catarina Pinula,true,,UPDATE,28138
TC-00050248,trabajador,Zona 6,true,,UPDATE,23718
TC-00050249,estudiante,Zona 12,true,,UPDATE,23964
TC-00050255,,,false,2026-06-19 13:27:00,DELETE,13023
TC-00050258,,,false,2026-06-29 04:59:00,DELETE,19969
TC-00050284,adulto_mayor,Mixco,true,,UPDATE,19068
TC-00050292,trabajador,Zona 18,true,,UPDATE,20596
TC-00050293,trabajador,San Miguel Petapa,true,,INSERT,2926
TC-00050296,trabajador,San Miguel Petapa,true,,INSERT,1614
TC-00050297,,,false,2026-06-26 03:41:00,DELETE,17932
TC-00050304,,,false,2026-07-09 04:01:00,DELETE,26844
TC-00050308,trabajador,Zona 17,true,,UPDATE,27895
TC-00050309,estudiante,Zona 13,true,,UPDATE,24606
TC-00050312,trabajador,Mixco,true,,INSERT,10498
TC-00050314,trabajador,Zona 13,true,,INSERT,13271
TC-00050315,trabajador,Zona 8,true,,UPDATE,21663
TC-00050321,adulto_mayor,Zona 4,true,,UPDATE,23070
TC-00050324,trabajador,Zona 13,false,2026-07-02 03:11:00,DELETE,22024
TC-00050326,trabajador,Zona 12,true,,INSERT,22084
TC-00050327,trabajador,Zona 8,true,,UPDATE,10822
TC-00050332,trabajador,San Miguel Petapa,true,,INSERT,27645
TC-00050333,trabajador,Zona 10,true,,INSERT,27747
TC-00050338,trabajador,Zona 8,true,,UPDATE,11313
TC-00050339,estudiante,Zona 1,true,,UPDATE,9216
TC-00050340,estudiante,Santa Catarina Pinula,true,,UPDATE,21163
TC-00050345,general,Zona 18,true,,UPDATE,29363
TC-00050347,estudiante,Zona 7,true,,UPDATE,18319
TC-00050348,general,Zona 18,true,,UPDATE,1035
TC-00050353,general,Zona 7,true,,UPDATE,5272
TC-00050355,estudiante,Zona 9,true,,UPDATE,4031
TC-00050356,estudiante,Zona 11,true,,UPDATE,14932
TC-00050360,general,Zona 13,true,,INSERT,24250
TC-00050364,trabajador,Zona 4,true,,INSERT,18852
TC-00050365,adulto_mayor,Mixco,true,,UPDATE,13423
TC-00050367,general,Zona 4,true,,UPDATE,3306
TC-00050368,estudiante,Zona 1,true,,INSERT,13918
TC-00050369,trabajador,Zona 7,true,,INSERT,29790
TC-00050371,trabajador,Zona 11,false,2026-07-15 11:05:00,DELETE,30976
TC-00050376,general,Zona 4,true,,INSERT,22133
TC-00050380,trabajador,Zona 8,true,,INSERT,11274
TC-00050387,trabajador,Zona 11,true,,UPDATE,25337
TC-00050388,general,Zona 8,true,,UPDATE,30059
TC-00050393,adulto_mayor,Zona 6,true,,UPDATE,20952
TC-00050394,,,false,2026-06-19 17:02:00,DELETE,13091
TC-00050395,adulto_mayor,Zona 8,true,,UPDATE,27250
TC-00050396,general,Zona 12,true,,INSERT,6424
TC-00050400,trabajador,Zona 12,true,,UPDATE,26737
TC-00050401,adulto_mayor,Santa Catarina Pinula,true,,INSERT,25024
TC-00050405,trabajador,Zona 12,true,,INSERT,18644
TC-00050407,estudiante,Zona 6,true,,INSERT,23639
TC-00050409,adulto_mayor,Zona 13,true,,UPDATE,14351
TC-00050421,trabajador,Zona 4,true,,INSERT,14628
TC-00050422,,,false,2026-06-03 02:57:00,DELETE,2048
TC-00050425,trabajador,San Miguel Petapa,true,,UPDATE,26758
TC-00050430,general,Zona 17,true,,UPDATE,265
TC-00050435,trabajador,Santa Catarina Pinula,true,,UPDATE,2594
TC-00050438,trabajador,Zona 10,true,,INSERT,22236
TC-00050448,trabajador,Zona 7,true,,INSERT,16104
TC-00050449,estudiante,Zona 8,true,,UPDATE,17700
TC-00050453,,,false,2026-06-18 17:16:00,DELETE,12394
TC-00050458,adulto_mayor,Zona 11,true,,UPDATE,6017
TC-00050460,,,false,2026-06-10 08:22:00,DELETE,6863
TC-00050463,adulto_mayor,Zona 18,true,,UPDATE,17134
TC-00050472,trabajador,Villa Nueva,true,,INSERT,21548
TC-00050473,adulto_mayor,Zona 13,true,,INSERT,22816
TC-00050483,general,Zona 12,true,,INSERT,27624
TC-00050485,,,false,2026-07-13 07:38:00,DELETE,29586
TC-00050486,general,Zona 12,true,,UPDATE,28788
TC-00050491,trabajador,Zona 9,true,,UPDATE,21710
TC-00050492,general,Zona 10,true,,INSERT,13113
TC-00050499,estudiante,Zona 1,false,2026-06-27 04:39:00,DELETE,18563
TC-00050507,estudiante,Zona 6,true,,UPDATE,13609
TC-00050511,general,Zona 18,true,,UPDATE,5877
TC-00050519,estudiante,Zona 18,true,,UPDATE,9464
TC-00050520,estudiante,Zona 8,true,,UPDATE,23322
TC-00050524,estudiante,Mixco,true,,UPDATE,30945
TC-00050526,general,Zona 4,true,,UPDATE,2347
TC-00050528,,,false,2026-06-12 15:36:00,DELETE,8224
TC-00050530,adulto_mayor,San Miguel Petapa,true,,UPDATE,25910
TC-00050531,general,Zona 10,true,,UPDATE,26809
TC-00050533,estudiante,Zona 1,true,,INSERT,25003
TC-00050534,trabajador,Santa Catarina Pinula,true,,UPDATE,6116
TC-00050539,trabajador,Zona 11,true,,UPDATE,14966
TC-00050541,adulto_mayor,Zona 17,true,,UPDATE,25829
TC-00050542,trabajador,Zona 7,true,,INSERT,11865
TC-00050545,trabajador,Zona 13,true,,INSERT,24959
TC-00050550,estudiante,Santa Catarina Pinula,true,,UPDATE,4628
TC-00050554,trabajador,Zona 4,true,,INSERT,15323
TC-00050555,estudiante,Zona 4,true,,UPDATE,22522
TC-00050558,trabajador,Zona 1,true,,INSERT,7772
TC-00050559,adulto_mayor,Zona 1,true,,UPDATE,30740
TC-00050561,estudiante,Zona 6,true,,UPDATE,14340
TC-00050562,estudiante,Zona 10,true,,UPDATE,23358
TC-00050563,general,Zona 11,true,,INSERT,4850
TC-00050570,estudiante,Zona 17,true,,INSERT,6313
TC-00050572,adulto_mayor,Zona 4,true,,UPDATE,2354
TC-00050573,trabajador,Zona 17,true,,INSERT,3526
TC-00050585,,,false,2026-06-10 23:14:00,DELETE,6879
TC-00050587,,,false,2026-06-16 05:40:00,DELETE,10974
TC-00050591,trabajador,San Miguel Petapa,true,,INSERT,27682
TC-00050592,estudiante,Zona 6,true,,UPDATE,11361
TC-00050594,adulto_mayor,Zona 1,true,,UPDATE,29418
TC-00050595,adulto_mayor,Zona 13,true,,UPDATE,29261
TC-00050596,trabajador,Zona 18,true,,INSERT,21564
TC-00050607,estudiante,Mixco,true,,UPDATE,1921
TC-00050608,trabajador,Zona 4,true,,UPDATE,25230
TC-00050609,adulto_mayor,Zona 17,true,,UPDATE,21152
TC-00050612,trabajador,Zona 7,true,,INSERT,8435
TC-00050615,general,San Miguel Petapa,true,,INSERT,9781
TC-00050619,,,false,2026-07-15 17:44:00,DELETE,30961
TC-00050621,estudiante,Zona 12,true,,UPDATE,2664
TC-00050623,,,false,2026-06-07 05:11:00,DELETE,4802
TC-00050629,,,false,2026-07-14 21:23:00,DELETE,30342
TC-00050633,adulto_mayor,Villa Nueva,true,,UPDATE,8858
TC-00050635,general,Zona 17,true,,INSERT,27724
TC-00050640,estudiante,Zona 11,true,,UPDATE,9517
TC-00050643,general,Villa Nueva,true,,INSERT,17304
TC-00050645,general,Zona 1,true,,UPDATE,4708
TC-00050647,estudiante,Zona 1,true,,INSERT,22959
TC-00050648,trabajador,Zona 6,true,,UPDATE,16822
TC-00050652,estudiante,Zona 17,false,2026-06-29 04:46:00,DELETE,19929
TC-00050661,trabajador,Zona 1,true,,INSERT,8976
TC-00050664,estudiante,Zona 13,true,,INSERT,29739
TC-00050668,estudiante,Villa Nueva,true,,INSERT,26275
TC-00050671,general,Mixco,true,,UPDATE,26016
TC-00050675,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,23925
TC-00050682,trabajador,Zona 18,true,,UPDATE,8730
TC-00050688,general,Mixco,true,,UPDATE,1190
TC-00050689,,,false,2026-07-07 19:15:00,DELETE,25488
TC-00050694,trabajador,Zona 6,true,,INSERT,29011
TC-00050697,estudiante,Zona 12,true,,UPDATE,427
TC-00050704,adulto_mayor,Zona 7,true,,UPDATE,8784
TC-00050710,adulto_mayor,Santa Catarina Pinula,true,,UPDATE,10070
TC-00050713,,,false,2026-06-20 08:53:00,DELETE,13727
TC-00050716,estudiante,Zona 4,true,,UPDATE,23990
TC-00050717,trabajador,Zona 10,true,,UPDATE,13628
TC-00050721,trabajador,Santa Catarina Pinula,true,,UPDATE,25883
TC-00050725,estudiante,Zona 18,true,,UPDATE,25081
TC-00050728,estudiante,Zona 4,true,,UPDATE,3830
TC-00050729,,,false,2026-07-07 16:28:00,DELETE,25451
TC-00050737,estudiante,Zona 13,true,,UPDATE,28549
TC-00050748,estudiante,San Miguel Petapa,true,,UPDATE,26609
TC-00050749,,,false,2026-06-28 03:09:00,DELETE,19235
TC-00050750,general,San Miguel Petapa,true,,UPDATE,29437
TC-00050756,trabajador,Villa Nueva,true,,INSERT,9840
TC-00050758,estudiante,Zona 9,true,,INSERT,21401
TC-00050762,general,Zona 12,true,,INSERT,9686
TC-00050767,trabajador,Santa Catarina Pinula,true,,INSERT,9150
TC-00050770,general,Zona 13,true,,UPDATE,10038
TC-00050775,general,Zona 17,true,,UPDATE,353
TC-00050778,trabajador,Zona 17,true,,INSERT,6442
TC-00050779,trabajador,Zona 17,true,,UPDATE,9415
TC-00050780,trabajador,Zona 12,true,,UPDATE,28885
TC-00050782,general,Zona 17,true,,INSERT,18686
TC-00050788,general,Zona 13,true,,INSERT,2843
TC-00050790,estudiante,Zona 13,true,,UPDATE,9547
TC-00050799,,,false,2026-06-01 12:35:00,DELETE,664
TC-00050803,,,false,2026-06-04 16:54:00,DELETE,2744
TC-00050805,trabajador,Zona 9,true,,UPDATE,12819
TC-00050806,adulto_mayor,Zona 8,true,,UPDATE,25152
TC-00050812,general,Zona 9,true,,UPDATE,24461
TC-00050814,,,false,2026-06-21 10:40:00,DELETE,14490
TC-00050815,estudiante,Zona 17,true,,UPDATE,18438
TC-00050816,general,Zona 13,true,,UPDATE,23998
TC-00050818,trabajador,Zona 1,true,,UPDATE,1260
TC-00050819,trabajador,San Miguel Petapa,true,,INSERT,23687
TC-00050824,,,false,2026-07-08 07:30:00,DELETE,26143
TC-00050827,estudiante,San Miguel Petapa,true,,UPDATE,24035
TC-00050830,general,Zona 13,false,2026-06-16 22:11:00,DELETE,11029
TC-00050835,trabajador,Villa Nueva,true,,UPDATE,21952
TC-00050840,trabajador,Zona 17,true,,UPDATE,26537
TC-00050845,estudiante,Zona 13,true,,UPDATE,30056
TC-00050853,trabajador,San Miguel Petapa,true,,INSERT,13304
TC-00050863,estudiante,Zona 12,true,,INSERT,10492
TC-00050864,estudiante,Villa Nueva,true,,UPDATE,3142
TC-00050865,estudiante,Zona 9,true,,UPDATE,1145
TC-00050874,estudiante,Zona 17,true,,UPDATE,11544
TC-00050876,general,Zona 1,true,,INSERT,29833
TC-00050877,,,false,2026-06-09 00:01:00,DELETE,6183
TC-00050878,adulto_mayor,Mixco,false,2026-07-10 05:34:00,DELETE,27546
TC-00050879,trabajador,Zona 12,true,,INSERT,11901
TC-00050881,general,Mixco,true,,INSERT,18653
TC-00050882,general,Santa Catarina Pinula,true,,INSERT,7061
TC-00050884,adulto_mayor,Zona 6,true,,UPDATE,10071
TC-00050885,trabajador,Zona 9,true,,UPDATE,21846
TC-00050892,estudiante,Zona 10,true,,UPDATE,16388
TC-00050901,adulto_mayor,San Miguel Petapa,true,,INSERT,2961
TC-00050908,estudiante,Zona 1,true,,UPDATE,27483
TC-00050911,trabajador,Zona 12,true,,INSERT,848
TC-00050915,estudiante,Zona 4,true,,INSERT,16072
TC-00050918,estudiante,Villa Nueva,true,,INSERT,191
TC-00050924,estudiante,Zona 10,true,,INSERT,14535
TC-00050926,,,false,2026-06-22 10:07:00,DELETE,15161
TC-00050927,trabajador,Zona 9,true,,INSERT,11078
TC-00050931,adulto_mayor,Villa Nueva,true,,UPDATE,24678
TC-00050935,trabajador,Zona 10,true,,UPDATE,26471
TC-00050942,trabajador,Zona 11,true,,INSERT,14538
TC-00050950,estudiante,Zona 9,true,,INSERT,6418
TC-00050952,estudiante,Zona 11,true,,INSERT,4315
TC-00050955,adulto_mayor,Zona 13,true,,UPDATE,12301
TC-00050959,general,San Miguel Petapa,true,,UPDATE,1094
TC-00050961,trabajador,Zona 9,true,,INSERT,2219
TC-00050963,,,false,2026-07-11 03:26:00,DELETE,28272
TC-00050967,general,San Miguel Petapa,true,,INSERT,3457
TC-00050968,trabajador,Mixco,true,,UPDATE,28110
TC-00050978,trabajador,Zona 6,true,,UPDATE,8794
TC-00050981,general,Zona 4,true,,INSERT,5715
TC-00050982,adulto_mayor,Zona 11,true,,UPDATE,18412
TC-00050984,estudiante,Villa Nueva,false,2026-07-12 00:43:00,DELETE,28957
TC-00050985,estudiante,Zona 12,true,,INSERT,22915
TC-00050986,trabajador,Santa Catarina Pinula,true,,UPDATE,10790
TC-00050988,,,false,2026-07-14 14:10:00,DELETE,30325
TC-00050992,estudiante,Zona 7,true,,UPDATE,30066
TC-00050994,trabajador,Zona 8,false,2026-07-13 00:30:00,DELETE,29630
TC-00050999,estudiante,Zona 10,true,,UPDATE,29284
TC-00051001,,,false,2026-06-30 03:31:00,DELETE,20665
TC-00051003,,,false,2026-07-10 22:13:00,DELETE,27570
TC-00051004,estudiante,Mixco,true,,UPDATE,22487
TC-00051009,general,Zona 4,false,2026-07-03 19:23:00,DELETE,22737
TC-00051012,estudiante,Zona 8,true,,UPDATE,24490
TC-00051013,estudiante,Zona 1,true,,UPDATE,24042
TC-00051014,trabajador,Zona 4,true,,UPDATE,27956
